,Algoritma,Root Mean Squared Error (m) - sumbu-x,Root Mean Squared Error (m) - sumbu-y,Root Mean Squared Error (m) - overall,Accuracy (%)
0,Tanpa algoritma (controlled),11.396473847349574,36.41150935353799,23.903991600443778,0.16849460824138518
1,Hanya Kalman Filter (KF),5.980006344819113,3.922596950683055,4.951301647751085,0.9306185944066317
2,Hanya Autoencoder,4.927880414106557,2.3987663660163934,3.663323390061475,0.9559480858600742
3,Autoencoder dengan KF,0.04482130107821011,0.09712653503310485,0.07097391805565748,0.999992980631137
